word => count, index
कक्षा =>1516
झिल्के =>1
तिल्के =>1
चाउरे =>1
डल्ली =>1
भुन्टी =>2
डल्याउने =>1
मुन्ट्याउने =>1
कुकाम =>5
बेपारी =>1
हौवा =>3
पिटाएर =>1
हसुरे =>1
फुलो =>2
पार्यै =>1
थुनिने =>1
हल्लागुल्ला =>1
लछार्पाटो =>1
लाउँदैन =>1
कानेखुसी =>7
नामुद =>3
बासीतेसी =>1
ढड्याएर =>1
छुचुन्द्रो =>1
ड्याङ्गो =>1
प्रसारक =>4
झुम्मिएर =>1
दिसापिसाप =>1
उम्काई =>1
समाधीस्थ =>1
डङ्गुर =>2
तेलघिउ =>1
चास्नी =>2
छड्काएर =>1
वाक्कट्यार्र =>2
ब्लुक्रस =>1
नर्भीक =>1
घरमन्त्री =>1
ठम्याएर =>1
हजम =>2
एकछिन् =>4
ढुस्स =>1
पोलेर =>4
झुसिलो =>2
डकार =>3
अधोवायु =>1
वायुपण्डल =>1
ग्यास्टिक =>2
अगस्ति =>1
मय =>2
सुकुमार =>3
साध्ये =>2
भ्यागुतोझैँ =>1
भन्दैछु =>3
कवयत्री =>7
छरपष्ट =>3
बसिरहेछु =>1
रोयौ =>2
तिमै्र =>1
बगिरहेछु =>1
हाँडीगाउँ =>2
कविगोष्ठी =>5
कवितावाचन =>5
खोकीराख्यौँ =>1
बोकीराख्यौँ =>1
राख्यौँं =>1
बेञ्जु =>1
निस्त्रीह =>1
ओर्लँदैछ =>1
निष्पन्ध =>1
पुरिँदै =>2
कट् =>1
बाँडियौँ =>5
भाँडियौँ =>1
बाँडिएको =>1
डाम्दै =>1
गाम्नाङ्गे =>1
विसङ्ति =>1
छेडछाड =>4
छुनुछ =>1
ठाडोठाडो =>1
ननिहुरिनु =>1
नहेर्नु =>1
भूईँ =>1
थाङ्ना =>3
विजयध्वज =>4
लिम्रिक =>1
त्रिभुवनचन्द्र =>1
मनोरोगी =>2
घनघोर =>9
प्रष्ट्याउँछ =>2
जलधि =>1
जुद्धशम्शेर =>1
बुद्धिचाल =>5
श्रीलंकाली =>16
कारु =>1
जयासूर्या =>1
मुदिता =>1
कारियाकार्वाना =>1
जर्नालिस्ट =>1
आइएफडब्लुजे =>1
बीभी =>1
मल्ल्किार्जुना =>1
सार्वजिनिक =>1
एसएलपीए =>1
जानुपूर्व =>2
पुग्दासम्म =>1
भुपरिवेष्ठित =>2
समुन्द्रवेष्ठित =>1
आएएफडब्लुजे =>1
गिति =>1
तालुकदार =>1
बुद्धप्रेमी =>1
नयाँबस्ती =>4
ओढाइ =>1
कैलाशकुट =>3
मागसम्मानित =>1
अंशुवर्माकालीन =>1
भाषानुवाद =>3
भइकन =>3
नारायणबहादुर =>1
चौलागार्इँ =>1
श्रीबहादुर =>1
अर्धकद =>2
ज्योत्स्ना =>1
गोपालकृष्ण =>2
त्रिनेत्र =>3
स्रष्टात्रय =>1
प्रेक्षित =>1
भग्नावशेष =>34
रेक्ट्रोफिटिङ =>1
भन्नेसम्म =>2
विषयबारे =>1
साइली =>2
रहनुभएका =>1
जग्ग =>1
सहुलितय =>1
महाकावि =>1
पुथ्वीराज =>1
प्रमिथस =>5
महाराणाप्रताप =>1
वनकुसुम =>1
उन्ननय =>2
पत्रिकार =>2
मुखपत्र =>3
अच्युतरमण =>15
घिमिरेयो =>1
बस्छ्यौ =>3
हास्छ्यौँ =>1
अप्र्यौ =>1
छाइरहन्छ्यौ =>1
छ्यौ =>7
बस्यौ =>2
काखै =>3
नाची =>1
रन्छ्यौ =>1
भन्छ्यौ =>2
पौडिरहेछन् =>1
डौडिरहेछन् =>1
विषादमय =>1
कृत्रिमता =>1
भाग्यो =>4
आश्चर्ययुक्त =>1
रोदी =>5
गाउँछ्यौ =>1
भिझाएर =>1
आउँछ्यौ =>1
लालित्य =>10
अधैर्य =>3
फोक्सोण्डो =>1
दौतारी =>1
चढ्छन्शालीन =>1
धैर्यमय =>1
कोटी =>5
शर्माजोश =>1
बुझिँदैन =>1
जिस्क्याउँछ =>1
भन्दैछ =>2
नहेर =>2
उठ्छु =>3
जर्याक =>2
जुरुक =>4
र्फयाक =>1
फुरुक =>1
फूलेँ =>1
साथीसङ्गी =>1
रुच्दैन =>2
जाँच्दैन =>1
गड्याङ =>1
गुडुङग =>1
स्यार्न =>1
कट्टु =>4
जैले =>1
काँसो =>1
खस् =>2
थु =>1
रम्ने =>2
भन्दाखेरि =>1
काँप्न =>3
वेशै =>1
खोज्छौ =>1
लुकामारी =>4
छुनेछ =>1
मागूँ =>1
रैछु =>1
निहारिका =>14
उटाए =>1
परित्यक्त =>3
निलोफर =>1
इन्डिगो =>9
पातला =>5
हिनताबोध =>1
काम्ने =>1
परिजात =>2
घ्रिसिएर =>1
हिँड्थिन् =>1
चल्दैन्थ्यो =>1
काहीँ =>15
सुनाउ =>2
म्हेपी =>2
आहोरअवरोह =>1
प्रत्येक्ष =>1
माेर्चा =>1
व्यवहारविरूद्धकाे =>1
बाक्लिए =>3
चेनता =>1
कार्यकता =>2
तीताे =>1
पाेखे =>1
संङगति =>1
असंगति =>1
कार्यक्रमहरुकाे =>1
नबज्दै =>2
लगाब =>1
बाक्लै =>4
तताउन =>5
साहित्यकर्मी =>1
टपक् =>1
खोटो =>1
नाङ्ग्ला =>1
गुन्द्रक =>1
झुत्ता =>1
झुण्डयाइए =>1
बालिए =>3
बाद्यवादन =>1
तम्तयारी =>1
अन्तरहिमाली =>1
मन्त्रमुग्ध =>8
सङगीत =>1
पाहुँना =>1
गुन्जायमान =>2
झागन =>1
सेब्रु =>1
टप्पा =>3
भुम्रा =>1
हुड्केली =>2
सहअस्तिस्व =>1
गतेसम्मे =>1
छिप्पि =>1
अधिकारीकाँडा =>1
पनिगुलाफ =>1
छुहिलो =>1
पनिकमल =>1
छुबादल =>1
बीचबाटघाम =>1
छुफेरी =>3
निरासा =>5
पनिआसा =>1
छुअसफलताहरु =>1
पनिसफलता =>1
बीचबाटैविजेता =>1
झुकाएर =>3
पनिस्वाभीमान =>1
देख =>4
छुमौन =>1
पनिठूला =>1
छुपानी =>1
कोमलतालेचट्टान =>1
पालेरै =>1
चण्डोल =>1
काठमाण्डौंफोन =>1
नः =>2
निरुत्तरनिमेष =>1
घरअगाडि =>2
चिर्बिराउने =>1
घुम्दाघुम्दै =>1
अडिन्छ =>2
घेर्छन् =>1
निस्कूँ =>1
बादलबाहिर =>1
सोधिरहन्छ =>1
पुुग्ने =>1
पाइताला =>6
नाबालक =>13
पहिल्याइमाग्छ =>1
छिचोल्नु =>1
टिठलाग्ला =>1
सोधिरहेछ =>1
बेआबाज =>1
सोधिरहेछन् =>2
स्वतन्त्रताशान्ति =>1
प्रियवन्दनासोह्रो =>1
पिन्जडा =>1
कुँजिइ =>1
फर्फराउँदै =>2
बायुवेग =>1
आकासीय =>2
निकैबेर =>4
हेरिरहे =>1
सहित्य =>3
मालपथ =>1
लेखनतर्प =>1
प्रेमाभिव्यक्ति =>1
साइपाटा =>1
आगत =>4
नछुटाई =>3
समाउँछन् =>2
हौस्याउने =>3
दशँै =>1
शब्दमाः =>1
ज्यादती =>12
क्यासेज =>1
विश्वेश्वरप्रसाद =>10
पुस्करशमशेर =>1
गोविन्दमल्ल =>1
गोठाले =>6
कुन्ता =>11
उत्कृृष्ट =>1
दिँदैछ =>4
ल्याउनुभए =>1
बास्नु =>3
मर्मिक =>1
बाँच्नुपर्छ =>4
डायस्पोर =>2
बाँहिर =>1
योगेस =>1
पढेनौँ =>2
जानेनौँ =>1
पूर्वप्रधान =>1
आत्मवृतान्त =>3
पाठशाल =>1
बाँढ्छ =>1
तनक्खा =>4
लेप =>1
ख़लील =>1
जिब्रानपोथ्रा =>1
फ़ूल =>3
लहराउथ्यो =>1
गुलाव =>13
जल्दो =>1
मशाल =>1
ओंठ =>3
फ़ट्फ़टाउन =>1
भुसुनो =>1
भईन =>1
हीन =>3
लेपासी =>1
निल =>17
चेहरा =>7
क्षुद्र =>33
ढोंग =>3
धमाश =>1
आह =>1
भाग्यमान =>1
नसिहत =>1
कष्टदायक =>1
सुनिन् =>4
बिर्को =>2
करुणामयी =>1
माते =>9
छुपे =>1
कथं =>1
हाल्यौ =>2
जिद =>1
सगर्व =>2
अज्ञानी =>4
शिकायत =>3
वायुमंडल =>1
लेपासिए =>1
टाङ्ग =>1
हाँगाबिंगा =>1
भाँचभुच =>1
कच्याक =>1
कुचुक =>1
समिप =>2
दैवी =>6
अहोभाग्य =>4
मृतप्राय =>1
बचेखुचे =>3
आत्मसन्तुष्ट =>1
निराहंकारी =>1
मुर्ख =>10
आत्मसन्तोष =>1
दुर्बल =>5
मुक =>3
कुपमंडुक =>1
लेपासिएर =>1
टुप्पै =>1
नीरवाता =>1
लौकिक =>1
परालौकिक =>1
बोलें =>2
चाहें =>2
जादुका =>1
जिए =>2
हेरें =>10
नभ =>2
झुकायो =>1
घिटघिटो =>1
लरबराउँदै =>1
जनम =>5
संकीर्णता =>2
फेर्यो =>3
ज्ञानवद्र्धक =>3
अर्थराजनीतिक =>1
स्विट्जरल्यण्ड =>1
तथ्याङ्क् =>1
अर्थव्यव्स्था =>1
संङ्घ =>1
क्यूवा =>2
मध्यकालीन =>5
अंंगिकार =>1
बताउदैँ =>1
अंगीकार =>6
ठिमाहा =>1
अँगाले =>4
स्थायीत्व =>4
व्यापारयुद्ध =>1
गोलचक्कर =>1
डिपी =>3
शीतयुद्ध =>5
प्रतिगन्ध =>29
नियालिरहँदा =>1
प्रष्टाउँदै =>2
जाँगरिलो =>3
वाङ्मयी =>2
आख्यानका =>1
दृष्टकोण =>1
प्रस्तुतिनै =>1
उनँ =>1
उपान्यास =>5
साताँै =>1
पुस्तौँ =>1
अपसभ्य =>1
नव्य =>1
चाउरिँदै =>2
मस्याउरिँदै =>1
हव्यकव्य =>1
भकुर्दै =>1
नचिताउने =>1
चढाएर =>5
पिउँला =>1
ल्याउँला =>2
हट् =>1
बसौँला =>1
मनाउँन =>1
डकैती =>1
लाड =>2
मद =>3
मात्सर्य =>2
सूत्रात्मक =>2
सम्धी =>3
दशैँखाने =>1
जिस्क्याउन =>5
खोप्रो =>1
कोरिए =>15
खचर््िालो =>1
पैसाशास्त्री =>1
दशैँभर =>1
बाना =>1
क्वाम =>1
चाचा =>1
झ्वाम =>1
रुपयाँ =>2
आकडा =>2
चौतीस =>2
दशैँखर्च =>1
ठूलाबडा =>5
रोलमोडल =>1
अनुकरण =>1
परिगयो =>1
सात्विक =>6
ठालू =>7
बाघभालु =>1
हगुवा =>3
पिताम =>2
चल्दो =>4
फेसनेबल =>1
टाइट =>2
परिधान =>4
बढार्ने =>1
आँङ =>1
छ्याङ्गै =>1
हने =>4
लहेङ्गा =>1
नाधारी =>1
लित् =>1
मासे =>1
नातिनीनाति =>1
घोच्ने =>2
टोक्छ =>3
बिहेबर्तन =>1
द्रव्यलुट =>1
कम्पिडिसन =>1
भ्वाँङ =>2
डल्याएर =>1
गिद्ध =>14
अन्तरलय =>1
हाँकेर =>2
बुझक्कड =>2
दरिए =>1
बुर्जुवा =>1
दैनन्दिनी =>1
कुर्कुस्त =>1
बोकाइ =>1
अग्रगमन =>8
ढोल =>1
पश्चगमन =>3
भुइँफुट्टा =>1
बोकाबाख्रा =>1
राँगाभैँसी =>1
पदाथर् =>1
संस्कृतिगान =>1
गेय =>2
पुनर्ताजकीकरण =>1
विनिधान =>1
ढोँगढर्रा =>1
पत्रं =>1
पुष्पं =>1
फलं =>1
तोयं =>1
भक्त्या =>1
प्रयच्छति =>1
गलहत्ती =>1
भोगवादी =>1
विलासी =>11
ललकार्ने =>1
बलिभक्ति =>1
जनै =>8
गराँै =>3
रूइत =>9
अकामा =>1
रुइत =>29
ग्रिपर =>3
तिलगंगा =>9
झेल्न =>8
संग्रौलालो =>1
ठान्नेछु =>2
महाचाड =>2
भाषाशैली =>6
अभिघात =>2
मिहीन =>9
स्वैरकल्पना =>10
दन्त्यकथा =>3
बहुल =>11
प्रस्तत =>2
सदृश्य =>3
आत्मआलोचना =>2
नभइसकेको =>2
झक्झक्याउने =>2
पौडेलकाठमाडौं =>1
लुछिलुछी =>2
खाँन्छन् =>2
गुञ्जिन्छ =>2
दृश्यसहित =>3
आवजलेनै =>1
लोकसभा =>18
विधानसभा =>15
उपनिर्वाचन =>4
घटनापरिघटना =>2
सीतापुर =>5
सुइको =>2
पाउँदैनथ्यो =>2
पुच्छार =>2
दौडादौड =>5
विसु =>6
सेलाउँदैन =>2
उच्चस्थान =>2
मुख्यमन्त्रीको =>2
घट्नेघटना =>2
चक्रब्यूह =>5
निर्वल =>2
सजिव =>2
मारिनु =>7
बकाइनु =>2
लिइनु =>2
बहकाउ =>2
मन्नुु =>2
गजव =>2
गरिँदो =>2
पातशाह =>8
मनजित =>3
इस्वी =>4
बर्णन =>3
डिस्कभरीअफ =>1
धर्मावलम्बि =>1
स्थापीत =>2
भन्थँे =>1
थुचुक् =>1
बसाल्यो =>2
हाम्रोे =>3
खर्चालु =>7
झर्नेधेरै =>1
खुइल्याएकोजब =>1
आउनुहुन्न =>1
आउन्न =>3
रमाएन =>1
भएनउस्तै =>1
रमाउलान =>1
बाबिना =>1
हुनुछ =>2
आउँछौँ =>2
लगाइदिन्छौ =>1
पठाउँछु =>7
चिम्म =>1
खटिया =>2
चर =>2
भरिदिनु =>1
घुप्लुक्क =>1
झुल्का =>2
धती =>1
पोखिन =>8
थुम्को =>5
पुग्थे =>7
झर्दै =>4
हतारिँदै =>4
जोतिइरहे =>1
न्याना =>3
नउम्रिऊन =>1
आतिएर =>1
नउठून् =>1
लुटेनन् =>1
लुछेनन् =>1
च्यातेनन् =>1
नलुट्नू =>1
पठाऊन =>1
तर्थे =>1
हुत्याइन्थ्यो =>1
अनकन्टार =>2
फालिन्थ्यो =>1
लगाइन्थ्यो =>1
बनाइन्थ्यो =>3
विचारा =>2
चालिसाँै =>1
सुनिएन =>2
उत्ताद्र्ध =>1
काठमान्डू =>1
चडाउनु =>1
नथापे =>1
राख्दिनुपर्दा =>1
बङ्गला =>18
जडवत =>1
उभिरहे =>3
खड्काबिहान =>1
पर्यौँ =>1
लहरै =>4
आउँथ्यौँ =>1
गेटनजि =>2
जन्मिरहे =>1
व्यथित =>4
आउनुहुन्थ्यो =>2
एककोठे =>1
दिनभरजसो =>3
खोजिरहेँ =>1
सम्झिरहन्थेँ =>1
धुम्धुम्ती =>1
त्यसवेला =>2
पुगूँ =>1
डराउँथे =>1
पालेदाइ =>1
उभिन्थेँ =>1
हेनराइटिङ =>1
फुत्किने =>2
सोचिरहन्थेँ =>3
रिसाउनुहुन्थ्यो =>1
टीटी =>1
क्यारमबोर्ड =>1
माग्ना =>1
दिइहाल्थे =>1
आउँदैनथ्यो =>2
छोड्दैनथ्यौँ =>1
लट्ठी =>2
पे्ररित =>1
छोड्थ्यौँ =>1
अघिल्लै =>4
फुट्सल =>1
ल्याओ =>1
खेलिसकेर =>1
लाग्यौँ =>3
निदाएछु =>1
खोल्नुभएछ =>1
बाटर =>1
बसिर =>5
त्यसैवेला =>1
हस्याङ्फस्याङ =>1
तिम्रोे =>1
झस्काइरेछ =>1
अनायसै =>2
गेटनेरै =>1
पार्थें =>1
पराउनुहुन्थ्यो =>3
लेखकघरर्र =>1
चनाखा =>1
डुलाएँ =>1
भेट्नेछु =>1
सम्झिन्थेँ =>1
बेलौती =>2
झाथ्र्यौँ =>1
फाल्हान्दै =>1
खेल्थ्यौँ =>2
चोया =>4
काढ्दै =>1
डोकोडालो =>1
बुन्नुहुन्थ्यो =>1
हेरिरहन्थेँ =>1
चराएर =>2
तताउनुहुन्थ्यो =>1
कुराउनी =>1
सानासाना =>2
परपर =>3
थमाइदिनु =>1
लाउनु =>7
बुझेनौँ =>1
हिँड =>5
मौनधारण =>4
शोकसभा =>3
गेटनेर =>1
टोलाइरहेँ =>1
रुँघेझैँ =>1
पर्खेझैँ =>1
बजिरहे =>1
धागा =>1
सिलाए =>1
चालै =>2
निमोठिए =>3
संवेदित =>2
रुझाइरह्यो =>1
माग्दिन =>1
वन्दना =>2
वन्दनास्वरूप =>1
पोखियो =>4
इन्द्रधनुषी =>1
चिरबिर =>10
शाश्वत =>26
नमर्ने =>5
शृङ्खलाअन्र्तगत =>1
विता =>1
ममत्व =>2
नसानसा =>2
सञ्चारित =>2
ब्रह्माण्ड =>20
सर्वप्रिय =>1
सर्वपूज्य =>1
काव्यकृति =>8
चाहतों =>1
साये =>5
व्यक्तित्वहरू =>1
अभिसिञ्चिन =>1
कदरस्वरूप =>2
ओरपान =>1
हरस्कोप =>1
भैरब =>4
मोहनबहादुर =>3
वस्थी =>1
ज्ञवली =>2
रिषी =>3
तड्क =>1
भड्क =>1
टुहोरो =>1
नौपाने =>1
भौगलिक =>1
आञ्चलिकता =>4
करुणारस =>1
भरिएको =>1
काममो =>1
दयामाया =>1
पराजुलीम =>1
जानुनै =>1
ठान्दैन =>1
लखेट्नु =>2
धपाउनु =>1
पल्ला =>7
पलाइरहेछ =>3
ओल्ला =>1
ठुले =>2
घरबारी =>2
पैरो =>1
जोडिएको =>3
सकिगए =>1
खनालझमक्क =>1
चर्र्चर्ती =>1
सुतिरहेँ =>1
नब्युझँने =>1
नउठाउनुस् =>1
जडवत् =>1
प्रतिगामी =>4
दक्षिणपन्थी =>6
परत्र =>1
भग्न =>1
नभन्नुस् =>1
चिरनिद्रा =>2
उठ्नुपर्दैन =>1
छिनाझपटी =>1
लाग्नुपर्दैन =>1
अनाचार =>3
धून =>5
बजोस् =>2
भड्कनु =>1
प्रज्ज्वलन =>6
पञ्चभौतिक =>1
इहलोक =>2
नलिनुहोला =>1
दागा =>3
नधर्नुहोला =>1
पौँठा =>1
नसम्झनु =>1
वेडिङ =>1
एनिभर्सरी =>4
छाद्ने =>2
फर्कें =>5
ओच्छ्या =>1
टाउटो =>1
मर्दाङ्गीपन =>1
मुडो =>1
ठान्दै =>5
ओच्छ्यान =>3
ठानिनँ =>4
फर् =>10
कोल्टे =>10
सुतिन् =>1
बोलिनन् =>1
मारिरहदा =>1
मदाङ्गीपन =>1
जाग्न =>2
पुरुषत्वपन =>1
उम्मलेर =>1
अस्वीकृति =>2
बदलिदिएँ =>1
मर्दाङ्गी =>1
मेटेरै =>1
ब्यँुझिँदा =>1
भत्भती =>2
पोल्यो =>3
भिजाइरहेँ =>1
ठोकेँ =>1
पिटेँ =>1
बुझाउनै =>2
र्बाक =>1
नहेरी =>12
निस्कँे =>1
उभिन् =>1
भक्कानिएर =>4
टिलपिलाए =>1
गल्र्याम्म =>2
मारँे =>1
रोएँ =>3
रोइरहेँ =>1
अर्भकहाल =>1
काठमडौँ =>2
शीला =>8
पकनाजोल =>3
मदनदेव =>3
रत्नश्री =>2
वाटिका =>3
कल्प =>10
महानाटक =>1
दन =>2
घुम्दैन =>3
चडेर =>3
नफेरी =>3
घुमी =>3
घुसाइदिए =>1
घु =>2
नघुमोस् =>1
पल्टियौँ =>1
धुरन्धर =>3
भयोबा =>1
मनोवृत्ति =>7
पस्तुत =>1
संस्कृतज्ञ =>1
शोधलेख =>1
ठहर्याएको =>1
शायन =>9
चुन्निनु =>1
पुत्रबधू =>1
जुवाइँ =>1
जाया =>1
दुला =>3
भेना =>1
सीमान्त =>7
चाकर =>1
फिटिक्क =>2
छानिन्छन् =>1
घाँडो =>3
गलगाँडझैँ =>1
पाल्नै =>2
मस्किल =>1
मासिन =>2
युवागण =>1
मलाया =>6
सक्किए =>3
थप्दैछन् =>2
कसोरी =>2
वेतनभक्त =>1
दुर्गन्धी =>1
कुदी =>1
उड्छन् =>4
धूषर =>1
रोगै =>1
बण्डावाद =>2
धान्ला =>1
सुसपना =>1
झारा =>5
घोक्रिन्छन् =>2
फिजीकरण =>1
पिरिन्छिन् =>1
कपुत =>2
सङ्कष्ट =>1
जाक्छ =>1
शाली =>4
गरिदिन्छ्यौ =>1
समेटिन्छ्यौ =>1
होमिन्छ्यौ =>1
होइनम =>1
फकिर =>3
औचित्यहीन =>2
चिताउनु =>1
महाशून्यता =>2
बुझाऊँ =>1
बुझ्छ्यौ =>1
हारि =>16
रहन्छु =>8
पछ्याइरहन्छु =>1
भइरहन्छु =>1
सुम्सुम्याउने =>2
बुझ्दिनौँ =>1
हेरिरहन्छु =>2
कम्प =>2
निसानी =>1
भष्म =>2
बेरङ =>2
डढाउन =>2
चाहान्न =>1
ताता =>7
ऊर्जावान् =>2
बनाइरहन्छ =>3
रहिरहनेछु =>2
अडिएर =>5
हरपल =>5
खोज्छ्यौ =>3
धड्किन्छ्यौ =>1
सम्हालुँ =>1
अस्तित्ववान् =>1
बसाऊ =>1
ताजमहल =>8
दिव्यवान् =>1
सुल्फा =>14
कक्ड =>1
भुसा =>3
हर्दम =>2
खाइरहने =>1
सुल्फेनी =>3
कुम्हाले =>1
हाँडी =>2
चिलिम =>2
बनाउँथे =>3
सभ्रान्त =>1
एस् =>8
कनीकुथी =>1
लेखाउँदा =>1
खान्थेँ =>1
बेठबेगारी =>1
लुगलुग =>2
गुरुवा =>2
झिम्रुक =>1
ट्याक =>8
छ्याप्प =>1
बिछाउँछ =>1
विछ्याउँछ =>1
माछो =>4
बास्न =>1
बिछ्याउँदा =>1
बिछ्याउँदै =>1
झिमरुक =>1
फड्के =>3
पुलनेर =>1
पुगिसक्यो =>4
झोलपानी =>1
तिउन =>2
बिछ्याउँछ =>1
टोकरी =>1
चियाउन =>2
बिसौली =>1
नुनतेल =>4
गनुैपर्ला =>1
बढिरहन्छ =>2
ठर्रा =>1
धार्नी =>4
बेच्यो =>7
भ्यागुतो =>4
किन्यो =>3
फँट =>1
फल्थ्यो =>2
आटो =>3
हुन्यो =>1
पङ्क्तिकार =>1
मोेही =>1
झपाझप =>1
रुच्थ्यो =>1
रहन्थ्यो =>2
खोस्रदै =>1
सुल्फ =>1
गरुवा =>2
बोल्दैनन् =>3
सँघार =>3
मन्टो =>2
चियायो =>1
छर्नु =>2
दम्को =>1
अनिदो =>2
हौइन =>1
घिच्छ =>1
घिच्ने =>1
जादैन =>2
काठा =>2
रुप्पेँ =>1
छरिदिन्छ =>1
पाखरा =>1
हाेँत्र्याउँछ =>1
स्याज =>1
चड्कन =>1
पख्लास् =>1
कनाउँदै =>1
आन्वि =>2
सचित्र =>7
बालपुस्तक =>4
अज =>1
अवानी =>1
यूथि =>1
जिया =>21
पुर्नि =>1
लेखिदिन =>5
बाक्य =>1
हिंसाबारे =>1
सुन्नुस् =>4
सुतेका =>1
उठाउनुपर्छ =>3
फर्काउँछु =>1
बाँच्नुपर्दैन =>1
लालावाला =>1
विताउनुपर्छ =>1
पठाएनौँ =>3
बाँधिएर =>6
थप्दैछु =>1
नङ्ग्रा =>6
खियाएर =>1
सुनेऊ =>1
बुझेऊ =>1
घरदेश =>4
थप्दैछुमै =>1
रित्तियो =>1
बसालौँ =>1
पखेरा =>4
खायौ =>3
फुलाउँ =>1
सुखशान्ति =>1
फुलाऊँ =>1
पठाउ =>1
जनतन्त्र =>2
जपध्यान =>1
थाप्दैछु =>1
गुलेली =>13
उठाइरहेछबेहिसाबहामी =>1
च्यापिरहेछकोसै =>1
पुर्याउनहावा =>1
हुर्याइरहेछजरुरकोसै =>1
निम्तिकोसै =>1
पुर्याउनमाध्यम =>1
बनाइएकाहामी =>1
मट्याङ्ग्रा =>2
हौँहामी =>8
बेवकुफ =>6
हामीकोसै =>1
चाप्लुसी =>5
साधनचम्चा =>1
साधनगुच्चा =>1
होइनौँअझअस्थायी =>1
साधनजो =>1
हुन्छर =>1
फालिन्छ =>2
ढाकाटोपीलाईसगरमाथा =>1
सम्झेरसधैँ =>1
फहराउनेहामी =>1
भरिएकोखाउ =>1
देखेरवरिपरि =>1
घुम्नेघुम्दा =>1
परेरअझ =>1
मर्नेहामी =>1
माखा =>2
हामीलेसधैँ =>1
मुठ्ठीभर =>2
जनानेता =>1
सर्वहराकोखोल =>1
नैतिकताछाडी =>1
अक्षेता =>1
अर्पिएरबेथिति =>1
बजेकोजताततै =>1
राजनीतिकभागबन्डा =>1
स्वार्थलेदेश =>1
देखिरह्यौँभ्रष्ट =>1
लिप्साहरुएक =>1
गएकोतर =>1
कहिल्यैएक =>1
अन्धा =>2
जस्तैछामी =>1
रह्यौं =>3
व्यवस्थालाईर =>1
रुमल्लिरह्यौँआरोप =>1
समेतएक =>1
नसक्नेहामी =>1
हिँडिरहेभ्रष्टाचार =>1
गर्दागर्दैथाकेर =>1
हिँडेपाकेर =>1
हिँडेझोला =>1
रखल्ती =>1
पाइलै =>1
पिच्छेपैसा =>1
आम्दानीलेकिने =>1
सल्काउनतिनै =>1
लाइटर =>8
माग्नेहामी =>1
पिलाए =>1
प्रलोभनकोरक्सी =>1
मातेरआफ्नै =>1
गर्नेहामी =>1
कर्मकाण्डी =>1
हौँहिजो =>1
छातालाईआज =>1
प्यारासुट =>4
सम्झिएरबेहिसाब =>1
हम्फाल्ने =>1
हौँजरुरएक =>1
पराएरप्रेम =>1
राख्नेहामी =>1
धोकेबाज =>5
हौँमन =>1
पराएरभोट =>1
हाल्नेहामी =>1
बेकम्मा =>1
हौंहामी =>1
बामदेव =>4
मोनहविक्रम =>1
पुर्राए =>1
दीप्ति =>3
सुरीति =>1
साहित्यकि =>1
असामायिक =>2
सुबेदीबाटा =>1
लगाँउदै =>1
बसिदिन्छन् =>1
भैदिन्छन् =>1
बर्षात् =>1
बारि =>1
बेफिक्री =>2
खाज्दै =>1
तिनैे =>1
बीष =>1
नानीसम्म =>1
साँधसम्म =>1
नदेखेरै =>1
बद्लिए =>1
मथि =>1
कर्पेट =>1
बार्षि =>1
विभीषण =>1
त्यसैल =>2
अफ्ठ्यारा =>1
चेप =>7
बिचलित =>3
कहिं =>2
नपुगने =>1
बिग्रिइ =>1
ढुङ्रो =>1
निस्कन्छौ =>1
चन्डि =>2
भट्टराईअचम्म =>1
अटे =>2
चुलबुलिएर =>1
तिमीप्रति =>1
बामे =>5
स्पर्स =>26
गछ्र्यौ =>1
पल्याक =>1
पुलुक =>1
हेछ्र्यौ =>1
भछ्र्यौ =>1
लड्छौ =>1
पल्टन्छौ =>1
उठ्छौ =>1
नियाली =>3
हेर्छौ =>2
माइक्रोस्कोप =>2
तानेझैँ =>1
टिप्छौ =>1
डुल्छौ =>1
सम्मानभाव =>1
छर्लंग =>3
शौभाग्यशाली =>1
आथित्य =>1
हिरण्यकुमारी =>3
सिग्मण्ड =>2
फ्रायड =>7
लेखिनुपर्छ =>3
अराकजतावादी =>1
स्वच्छन्दपन =>2
व्यङ्ग =>2
भूपति =>2
नदेखिनु =>5
विशिष्टिकृत =>5
हिँड्दैन =>1
लेखिँदैन =>3
सुम्नि =>9
यहुदी =>11
श्वेतभैरवी =>2
फ्रिसाइज =>1
रेडिमेट =>2
सत्ताधारीजन =>1
सिँगारिएर =>1
बर्बराउने =>1
भोक्ता =>2
स्वसमृद्धि =>1
गाउँफर्क =>1
फुटाउने =>9
मण्डले =>1
थारा =>1
उब्जिँदैन =>1
दुधिला =>1
रोपार =>4
मङ्सिरे =>1
दहीचिउरा =>1
कविकुल =>1
आषाढस्य =>1
दिवसे =>1
कीर्तिगाथा =>1
मडारिन्छ =>1
सारहीन =>1
खग्रास =>1
सकिनै =>5
अलजिल्ल =>1
देनिक =>1
रूपयाँ =>3
विप्ल्याँटो =>1
मजै =>7
पन्ध =>1
झ्वाँम =>1
आसेपासे =>12
क्वाँम =>1
गरिदिएछ =>1
पैँतालीस =>1
उछृङ्खलता =>1
हिलाम्ये =>1
उप्किएर =>3
विरूप =>1
लतार =>1
पतार =>1
समाधिस्थ =>2
नुहिने =>1
दुनिने =>1
कलम्ची =>2
अंशाहार =>1
ओके =>5
दाह्री =>14
माथिसम्म =>2
